node,x,y,demand_mean,demand_desv,supply_mean,supply_desv
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,1.0,300.0,111.0,190.0,4.0
2.0,3.0,3.0,300.0,119.0,182.0,5.0
3.0,1.0,3.0,300.0,111.0,190.0,4.0
4.0,-1.0,3.0,300.0,111.0,190.0,4.0
5.0,-3.0,3.0,300.0,119.0,182.0,5.0
6.0,-3.0,1.0,300.0,111.0,190.0,4.0
7.0,-3.0,-1.0,300.0,111.0,190.0,4.0
8.0,-3.0,-3.0,300.0,119.0,182.0,5.0
9.0,-1.0,-3.0,300.0,111.0,190.0,4.0
10.0,1.0,-3.0,300.0,111.0,190.0,4.0
11.0,3.0,-3.0,300.0,119.0,182.0,5.0
12.0,3.0,-1.0,300.0,111.0,190.0,4.0
13.0,5.0,1.0,180.0,49.0,132.0,5.0
14.0,5.0,3.0,180.0,64.0,117.0,6.0
15.0,5.0,5.0,180.0,65.0,116.0,7.0
16.0,3.0,5.0,180.0,64.0,117.0,6.0
17.0,1.0,5.0,180.0,49.0,132.0,5.0
18.0,-1.0,5.0,180.0,49.0,132.0,5.0
19.0,-3.0,5.0,180.0,64.0,117.0,6.0
20.0,-5.0,5.0,180.0,65.0,116.0,7.0
21.0,-5.0,3.0,180.0,64.0,117.0,6.0
22.0,-5.0,1.0,180.0,49.0,132.0,5.0
23.0,-5.0,-1.0,180.0,49.0,132.0,5.0
24.0,-5.0,-3.0,180.0,64.0,117.0,6.0
25.0,-5.0,-5.0,180.0,65.0,116.0,7.0
26.0,-3.0,-5.0,180.0,64.0,117.0,6.0
27.0,-1.0,-5.0,180.0,49.0,132.0,5.0
28.0,1.0,-5.0,180.0,49.0,132.0,5.0
29.0,3.0,-5.0,180.0,64.0,117.0,6.0
30.0,5.0,-5.0,180.0,65.0,116.0,7.0
31.0,5.0,-3.0,180.0,64.0,117.0,6.0
32.0,5.0,-1.0,180.0,49.0,132.0,5.0
33.0,7.0,1.0,128.0,28.0,101.0,7.0
34.0,7.0,3.0,128.0,40.0,89.0,7.0
35.0,7.0,5.0,128.0,44.0,85.0,8.0
36.0,7.0,7.0,128.0,44.0,85.0,9.0
37.0,5.0,7.0,128.0,44.0,85.0,8.0
38.0,3.0,7.0,128.0,40.0,89.0,7.0
39.0,1.0,7.0,128.0,28.0,101.0,7.0
40.0,-1.0,7.0,128.0,28.0,101.0,7.0
41.0,-3.0,7.0,128.0,40.0,89.0,7.0
42.0,-5.0,7.0,128.0,44.0,85.0,8.0
43.0,-7.0,7.0,128.0,44.0,85.0,9.0
44.0,-7.0,5.0,128.0,44.0,85.0,8.0
45.0,-7.0,3.0,128.0,40.0,89.0,7.0
46.0,-7.0,1.0,128.0,28.0,101.0,7.0
47.0,-7.0,-1.0,128.0,28.0,101.0,7.0
48.0,-7.0,-3.0,128.0,40.0,89.0,7.0
49.0,-7.0,-5.0,128.0,44.0,85.0,8.0
50.0,-7.0,-7.0,128.0,44.0,85.0,9.0
51.0,-5.0,-7.0,128.0,44.0,85.0,8.0
52.0,-3.0,-7.0,128.0,40.0,89.0,7.0
53.0,-1.0,-7.0,128.0,28.0,101.0,7.0
54.0,1.0,-7.0,128.0,28.0,101.0,7.0
55.0,3.0,-7.0,128.0,40.0,89.0,7.0
56.0,5.0,-7.0,128.0,44.0,85.0,8.0
57.0,7.0,-7.0,128.0,44.0,85.0,9.0
58.0,7.0,-5.0,128.0,44.0,85.0,8.0
59.0,7.0,-3.0,128.0,40.0,89.0,7.0
60.0,7.0,-1.0,128.0,28.0,101.0,7.0
61.0,9.0,1.0,100.0,18.0,83.0,8.0
62.0,9.0,3.0,100.0,28.0,73.0,9.0
63.0,9.0,5.0,100.0,32.0,69.0,9.0
64.0,9.0,7.0,100.0,33.0,68.0,10.0
65.0,9.0,9.0,100.0,34.0,67.0,11.0
66.0,7.0,9.0,100.0,33.0,68.0,10.0
67.0,5.0,9.0,100.0,32.0,69.0,9.0
68.0,3.0,9.0,100.0,28.0,73.0,9.0
69.0,1.0,9.0,100.0,18.0,83.0,8.0
70.0,-1.0,9.0,100.0,18.0,83.0,8.0
71.0,-3.0,9.0,100.0,28.0,73.0,9.0
72.0,-5.0,9.0,100.0,32.0,69.0,9.0
73.0,-7.0,9.0,100.0,33.0,68.0,10.0
74.0,-9.0,9.0,100.0,34.0,67.0,11.0
75.0,-9.0,7.0,100.0,33.0,68.0,10.0
76.0,-9.0,5.0,100.0,32.0,69.0,9.0
77.0,-9.0,3.0,100.0,28.0,73.0,9.0
78.0,-9.0,1.0,100.0,18.0,83.0,8.0
79.0,-9.0,-1.0,100.0,18.0,83.0,8.0
80.0,-9.0,-3.0,100.0,28.0,73.0,9.0
81.0,-9.0,-5.0,100.0,32.0,69.0,9.0
82.0,-9.0,-7.0,100.0,33.0,68.0,10.0
83.0,-9.0,-9.0,100.0,34.0,67.0,11.0
84.0,-7.0,-9.0,100.0,33.0,68.0,10.0
85.0,-5.0,-9.0,100.0,32.0,69.0,9.0
86.0,-3.0,-9.0,100.0,28.0,73.0,9.0
87.0,-1.0,-9.0,100.0,18.0,83.0,8.0
88.0,1.0,-9.0,100.0,18.0,83.0,8.0
89.0,3.0,-9.0,100.0,28.0,73.0,9.0
90.0,5.0,-9.0,100.0,32.0,69.0,9.0
91.0,7.0,-9.0,100.0,33.0,68.0,10.0
92.0,9.0,-9.0,100.0,34.0,67.0,11.0
93.0,9.0,-7.0,100.0,33.0,68.0,10.0
94.0,9.0,-5.0,100.0,32.0,69.0,9.0
95.0,9.0,-3.0,100.0,28.0,73.0,9.0
96.0,9.0,-1.0,100.0,18.0,83.0,8.0
97.0,11.0,1.0,81.0,13.0,69.0,9.0
98.0,11.0,3.0,81.0,20.0,62.0,10.0
99.0,11.0,5.0,81.0,24.0,58.0,10.0
100.0,11.0,7.0,81.0,26.0,56.0,11.0
101.0,11.0,9.0,81.0,27.0,55.0,11.0
102.0,11.0,11.0,81.0,27.0,55.0,12.0
103.0,9.0,11.0,81.0,27.0,55.0,11.0
104.0,7.0,11.0,81.0,26.0,56.0,11.0
105.0,5.0,11.0,81.0,24.0,58.0,10.0
106.0,3.0,11.0,81.0,20.0,62.0,10.0
107.0,1.0,11.0,81.0,13.0,69.0,9.0
108.0,-1.0,11.0,81.0,13.0,69.0,9.0
109.0,-3.0,11.0,81.0,20.0,62.0,10.0
110.0,-5.0,11.0,81.0,24.0,58.0,10.0
111.0,-7.0,11.0,81.0,26.0,56.0,11.0
112.0,-9.0,11.0,81.0,27.0,55.0,11.0
113.0,-11.0,11.0,81.0,27.0,55.0,12.0
114.0,-11.0,9.0,81.0,27.0,55.0,11.0
115.0,-11.0,7.0,81.0,26.0,56.0,11.0
116.0,-11.0,5.0,81.0,24.0,58.0,10.0
117.0,-11.0,3.0,81.0,20.0,62.0,10.0
118.0,-11.0,1.0,81.0,13.0,69.0,9.0
119.0,-11.0,-1.0,81.0,13.0,69.0,9.0
120.0,-11.0,-3.0,81.0,20.0,62.0,10.0
121.0,-11.0,-5.0,81.0,24.0,58.0,10.0
122.0,-11.0,-7.0,81.0,26.0,56.0,11.0
123.0,-11.0,-9.0,81.0,27.0,55.0,11.0
124.0,-11.0,-11.0,81.0,27.0,55.0,12.0
125.0,-9.0,-11.0,81.0,27.0,55.0,11.0
126.0,-7.0,-11.0,81.0,26.0,56.0,11.0
127.0,-5.0,-11.0,81.0,24.0,58.0,10.0
128.0,-3.0,-11.0,81.0,20.0,62.0,10.0
129.0,-1.0,-11.0,81.0,13.0,69.0,9.0
130.0,1.0,-11.0,81.0,13.0,69.0,9.0
131.0,3.0,-11.0,81.0,20.0,62.0,10.0
132.0,5.0,-11.0,81.0,24.0,58.0,10.0
133.0,7.0,-11.0,81.0,26.0,56.0,11.0
134.0,9.0,-11.0,81.0,27.0,55.0,11.0
135.0,11.0,-11.0,81.0,27.0,55.0,12.0
136.0,11.0,-9.0,81.0,27.0,55.0,11.0
137.0,11.0,-7.0,81.0,26.0,56.0,11.0
138.0,11.0,-5.0,81.0,24.0,58.0,10.0
139.0,11.0,-3.0,81.0,20.0,62.0,10.0
140.0,11.0,-1.0,81.0,13.0,69.0,9.0
141.0,13.0,1.0,69.0,10.0,60.0,10.0
142.0,13.0,3.0,69.0,15.0,55.0,11.0
143.0,13.0,5.0,69.0,19.0,51.0,11.0
144.0,13.0,7.0,69.0,21.0,49.0,11.0
145.0,13.0,9.0,69.0,22.0,48.0,12.0
146.0,13.0,11.0,69.0,22.0,48.0,12.0
147.0,13.0,13.0,69.0,23.0,47.0,13.0
148.0,11.0,13.0,69.0,22.0,48.0,12.0
149.0,9.0,13.0,69.0,22.0,48.0,12.0
150.0,7.0,13.0,69.0,21.0,49.0,11.0
151.0,5.0,13.0,69.0,19.0,51.0,11.0
152.0,3.0,13.0,69.0,15.0,55.0,11.0
153.0,1.0,13.0,69.0,10.0,60.0,10.0
154.0,-1.0,13.0,69.0,10.0,60.0,10.0
155.0,-3.0,13.0,69.0,15.0,55.0,11.0
156.0,-5.0,13.0,69.0,19.0,51.0,11.0
157.0,-7.0,13.0,69.0,21.0,49.0,11.0
158.0,-9.0,13.0,69.0,22.0,48.0,12.0
159.0,-11.0,13.0,69.0,22.0,48.0,12.0
160.0,-13.0,13.0,69.0,23.0,47.0,13.0
161.0,-13.0,11.0,69.0,22.0,48.0,12.0
162.0,-13.0,9.0,69.0,22.0,48.0,12.0
163.0,-13.0,7.0,69.0,21.0,49.0,11.0
164.0,-13.0,5.0,69.0,19.0,51.0,11.0
165.0,-13.0,3.0,69.0,15.0,55.0,11.0
166.0,-13.0,1.0,69.0,10.0,60.0,10.0
167.0,-13.0,-1.0,69.0,10.0,60.0,10.0
168.0,-13.0,-3.0,69.0,15.0,55.0,11.0
169.0,-13.0,-5.0,69.0,19.0,51.0,11.0
170.0,-13.0,-7.0,69.0,21.0,49.0,11.0
171.0,-13.0,-9.0,69.0,22.0,48.0,12.0
172.0,-13.0,-11.0,69.0,22.0,48.0,12.0
173.0,-13.0,-13.0,69.0,23.0,47.0,13.0
174.0,-11.0,-13.0,69.0,22.0,48.0,12.0
175.0,-9.0,-13.0,69.0,22.0,48.0,12.0
176.0,-7.0,-13.0,69.0,21.0,49.0,11.0
