node,x,y,demand_mean,demand_desv,supply_mean,supply_desv
0.0,0.0,-19.0,0.0,0.0,0.0,0.0
1.0,-1.0,-18.0,300.0,30.0,271.0,17.0
2.0,1.0,-18.0,300.0,30.0,271.0,17.0
3.0,-2.0,-17.0,180.0,26.0,155.0,15.0
4.0,0.0,-17.0,300.0,17.0,284.0,16.0
5.0,2.0,-17.0,180.0,26.0,155.0,15.0
6.0,-3.0,-16.0,128.0,24.0,105.0,14.0
7.0,-1.0,-16.0,180.0,20.0,161.0,15.0
8.0,1.0,-16.0,180.0,20.0,161.0,15.0
9.0,3.0,-16.0,128.0,24.0,105.0,14.0
10.0,-4.0,-15.0,100.0,23.0,78.0,13.0
11.0,-2.0,-15.0,128.0,21.0,108.0,13.0
12.0,0.0,-15.0,180.0,12.0,169.0,14.0
13.0,2.0,-15.0,128.0,21.0,108.0,13.0
14.0,4.0,-15.0,100.0,23.0,78.0,13.0
15.0,-5.0,-14.0,81.0,21.0,61.0,12.0
16.0,-3.0,-14.0,100.0,21.0,80.0,12.0
17.0,-1.0,-14.0,128.0,16.0,113.0,12.0
18.0,1.0,-14.0,128.0,16.0,113.0,12.0
19.0,3.0,-14.0,100.0,21.0,80.0,12.0
20.0,5.0,-14.0,81.0,21.0,61.0,12.0
21.0,-6.0,-13.0,69.0,20.0,50.0,11.0
22.0,-4.0,-13.0,81.0,20.0,62.0,11.0
23.0,-2.0,-13.0,100.0,18.0,83.0,11.0
24.0,0.0,-13.0,128.0,10.0,119.0,12.0
25.0,2.0,-13.0,100.0,18.0,83.0,11.0
26.0,4.0,-13.0,81.0,20.0,62.0,11.0
27.0,6.0,-13.0,69.0,20.0,50.0,11.0
28.0,-7.0,-12.0,60.0,19.0,42.0,10.0
29.0,-5.0,-12.0,69.0,20.0,50.0,10.0
30.0,-3.0,-12.0,81.0,19.0,63.0,10.0
31.0,-1.0,-12.0,100.0,14.0,87.0,11.0
32.0,1.0,-12.0,100.0,14.0,87.0,11.0
33.0,3.0,-12.0,81.0,19.0,63.0,10.0
34.0,5.0,-12.0,69.0,20.0,50.0,10.0
35.0,7.0,-12.0,60.0,19.0,42.0,10.0
36.0,-8.0,-11.0,52.0,17.0,36.0,10.0
37.0,-6.0,-11.0,60.0,19.0,42.0,9.0
38.0,-4.0,-11.0,69.0,19.0,51.0,10.0
