node,x,y,demand_mean,demand_desv,supply_mean,supply_desv
0.0,0.0,-21.0,0.0,0.0,0.0,0.0
1.0,-1.0,-20.0,300.0,27.0,274.0,19.0
2.0,1.0,-20.0,300.0,27.0,274.0,19.0
3.0,-2.0,-19.0,180.0,24.0,157.0,17.0
4.0,0.0,-19.0,300.0,16.0,285.0,18.0
5.0,2.0,-19.0,180.0,24.0,157.0,17.0
6.0,-3.0,-18.0,128.0,22.0,107.0,15.0
7.0,-1.0,-18.0,180.0,18.0,163.0,16.0
8.0,1.0,-18.0,180.0,18.0,163.0,16.0
9.0,3.0,-18.0,128.0,22.0,107.0,15.0
10.0,-4.0,-17.0,100.0,21.0,80.0,14.0
11.0,-2.0,-17.0,128.0,19.0,110.0,15.0
12.0,0.0,-17.0,180.0,11.0,170.0,15.0
13.0,2.0,-17.0,128.0,19.0,110.0,15.0
14.0,4.0,-17.0,100.0,21.0,80.0,14.0
15.0,-5.0,-16.0,81.0,20.0,62.0,13.0
16.0,-3.0,-16.0,100.0,19.0,82.0,13.0
17.0,-1.0,-16.0,128.0,15.0,114.0,14.0
18.0,1.0,-16.0,128.0,15.0,114.0,14.0
19.0,3.0,-16.0,100.0,19.0,82.0,13.0
20.0,5.0,-16.0,81.0,20.0,62.0,13.0
21.0,-6.0,-15.0,69.0,19.0,51.0,12.0
22.0,-4.0,-15.0,81.0,19.0,63.0,12.0
23.0,-2.0,-15.0,100.0,16.0,85.0,13.0
24.0,0.0,-15.0,128.0,8.0,120.0,13.0
25.0,2.0,-15.0,100.0,16.0,85.0,13.0
26.0,4.0,-15.0,81.0,19.0,63.0,12.0
27.0,6.0,-15.0,69.0,19.0,51.0,12.0
28.0,-7.0,-14.0,60.0,18.0,43.0,11.0
29.0,-5.0,-14.0,69.0,18.0,52.0,11.0
30.0,-3.0,-14.0,81.0,17.0,65.0,11.0
31.0,-1.0,-14.0,100.0,13.0,88.0,12.0
32.0,1.0,-14.0,100.0,13.0,88.0,12.0
33.0,3.0,-14.0,81.0,17.0,65.0,11.0
34.0,5.0,-14.0,69.0,18.0,52.0,11.0
35.0,7.0,-14.0,60.0,18.0,43.0,11.0
36.0,-8.0,-13.0,52.0,16.0,37.0,10.0
37.0,-6.0,-13.0,60.0,18.0,43.0,10.0
38.0,-4.0,-13.0,69.0,17.0,53.0,11.0
39.0,-2.0,-13.0,81.0,15.0,67.0,11.0
40.0,0.0,-13.0,100.0,8.0,93.0,11.0
41.0,2.0,-13.0,81.0,15.0,67.0,11.0
42.0,4.0,-13.0,69.0,17.0,53.0,11.0
43.0,6.0,-13.0,60.0,18.0,43.0,10.0
44.0,8.0,-13.0,52.0,16.0,37.0,10.0
45.0,-9.0,-12.0,47.0,15.0,33.0,10.0
46.0,-7.0,-12.0,52.0,16.0,37.0,10.0
47.0,-5.0,-12.0,60.0,17.0,44.0,10.0
48.0,-3.0,-12.0,69.0,16.0,54.0,10.0
49.0,-1.0,-12.0,81.0,12.0,70.0,10.0
50.0,1.0,-12.0,81.0,12.0,70.0,10.0
51.0,3.0,-12.0,69.0,16.0,54.0,10.0
52.0,5.0,-12.0,60.0,17.0,44.0,10.0
53.0,7.0,-12.0,52.0,16.0,37.0,10.0
54.0,9.0,-12.0,47.0,15.0,33.0,10.0
55.0,-10.0,-11.0,42.0,14.0,29.0,9.0
56.0,-8.0,-11.0,47.0,16.0,32.0,9.0
57.0,-6.0,-11.0,52.0,16.0,37.0,9.0
58.0,-4.0,-11.0,60.0,17.0,44.0,9.0
59.0,-2.0,-11.0,69.0,14.0,56.0,9.0
60.0,0.0,-11.0,81.0,7.0,75.0,10.0
61.0,2.0,-11.0,69.0,14.0,56.0,9.0
62.0,4.0,-11.0,60.0,17.0,44.0,9.0
63.0,6.0,-11.0,52.0,16.0,37.0,9.0
64.0,8.0,-11.0,47.0,16.0,32.0,9.0
65.0,10.0,-11.0,42.0,14.0,29.0,9.0
66.0,-11.0,-10.0,39.0,13.0,27.0,9.0
67.0,-9.0,-10.0,42.0,14.0,29.0,9.0
68.0,-7.0,-10.0,47.0,16.0,32.0,9.0
69.0,-5.0,-10.0,52.0,16.0,37.0,9.0
70.0,-3.0,-10.0,60.0,16.0,45.0,8.0
71.0,-1.0,-10.0,69.0,12.0,58.0,9.0
72.0,1.0,-10.0,69.0,12.0,58.0,9.0
73.0,3.0,-10.0,60.0,16.0,45.0,8.0
74.0,5.0,-10.0,52.0,16.0,37.0,9.0
75.0,7.0,-10.0,47.0,16.0,32.0,9.0
76.0,9.0,-10.0,42.0,14.0,29.0,9.0
77.0,11.0,-10.0,39.0,13.0,27.0,9.0
78.0,-12.0,-9.0,36.0,12.0,25.0,9.0
79.0,-10.0,-9.0,39.0,13.0,27.0,9.0
80.0,-8.0,-9.0,42.0,14.0,29.0,8.0
81.0,-6.0,-9.0,47.0,16.0,32.0,8.0
82.0,-4.0,-9.0,52.0,16.0,37.0,8.0
83.0,-2.0,-9.0,60.0,14.0,47.0,8.0
84.0,0.0,-9.0,69.0,7.0,63.0,8.0
85.0,2.0,-9.0,60.0,14.0,47.0,8.0
86.0,4.0,-9.0,52.0,16.0,37.0,8.0
87.0,6.0,-9.0,47.0,16.0,32.0,8.0
88.0,8.0,-9.0,42.0,14.0,29.0,8.0
89.0,10.0,-9.0,39.0,13.0,27.0,9.0
90.0,12.0,-9.0,36.0,12.0,25.0,9.0
91.0,-13.0,-8.0,33.0,11.0,23.0,8.0
92.0,-11.0,-8.0,36.0,12.0,25.0,8.0
93.0,-9.0,-8.0,39.0,13.0,27.0,8.0
94.0,-7.0,-8.0,42.0,15.0,28.0,8.0
95.0,-5.0,-8.0,47.0,16.0,32.0,7.0
96.0,-3.0,-8.0,52.0,15.0,38.0,7.0
97.0,-1.0,-8.0,60.0,12.0,49.0,7.0
98.0,1.0,-8.0,60.0,12.0,49.0,7.0
99.0,3.0,-8.0,52.0,15.0,38.0,7.0
100.0,5.0,-8.0,47.0,16.0,32.0,7.0
101.0,7.0,-8.0,42.0,15.0,28.0,8.0
102.0,9.0,-8.0,39.0,13.0,27.0,8.0
103.0,11.0,-8.0,36.0,12.0,25.0,8.0
104.0,13.0,-8.0,33.0,11.0,23.0,8.0
105.0,-14.0,-7.0,31.0,9.0,23.0,8.0
106.0,-12.0,-7.0,33.0,11.0,23.0,8.0
107.0,-10.0,-7.0,36.0,12.0,25.0,8.0
108.0,-8.0,-7.0,39.0,14.0,26.0,7.0
109.0,-6.0,-7.0,42.0,15.0,28.0,7.0
